text 1	text 2	text 3	text 4
authenticate	진짜임을 증명하다	The letter has been authenticated by handwriting experts.	그 편지는 필체 전문가들에 의해 진짜임이 밝혀졌다.
accustom	익히다, 익숙케 하다, 길들게 하다 ((to))	( accustom +[목]+[전]+[명] ) accustom  one's ears to the noises of city life.	도시 생활의 소음에 귀를 길들이다.
flourish	번창하다	Few businesses are flourishing in the present economic climate.	현 경제 상황에서는 번창하는 사업체가 별로 없다.
appliance	(가정용) 기기	electrical/household appliances.	가전제품/가정용 기기.
tentative	잠정적인	We made a tentative arrangement to meet on Friday.	우리는 금요일에 만나기로 잠정적으로 정했다.
courteous	공손한, 정중한	a courteous young man.	공손한 청년.
ominous	불길한	There were ominous dark clouds gathering overhead.	머리 위로 불길한 먹구름이 몰려들고 있었다.
multiracial	다민족의, 복합 인종의	a multiracial society.	다민족 사회.
extension	(세력・영향력・혜택 등의) 확대	the extension of new technology into developing countries.	개발도상국들로의 신기술 확대.
customarily	습관적으로, 관례상	Is it customary to tip hairdressers in this country?.	이 나라에서는 미용사에게 팁을 주는 것이 관례인가요?.
ambience	(어떤 장소의) 분위기	the relaxed ambience of the city.	그 도시의 느긋한 분위기.
endemic	(특정 지역・집단) 고유의, 고질적인, 풍토적인	Malaria is endemic in many hot countries.	말라리아는 많은 열대 국가들의 풍토병이다.
foreboding	(불길한) 예감	She had a sense of foreboding that the news would be bad.	그녀는 그 소식이 나쁜 것일 거라는 예감이 들었다.
slander	모략, 중상, 비방; (말로 하는) 명예 훼손죄	a vicious slander on the company's good name.	그 회사의 명성에 대한 악의적인 모략.
obviate	(문제・필요성을) 제거[배제]하다	This new evidence obviates the need for any further enquiries.	이 새 증거로 더 이상 조사할 필요가 없어졌다.
spoil	망치다, 버려 놓다, 못쓰게 만들다	Our camping trip was spoilt by bad weather.	우리의 캠핑 여행은 날씨가 안 좋아서 망쳐 버렸다.
prolific	다작하는	a prolific author.	다작 작가.
bigotry	심한 편견		
excoriate	(피부가) 벗겨지게 하다, 찰과상을 입히다		
incurable	치유할 수 없는, 불치의	an incurable disease/illness.	불치병.
haughty	거만한, 오만한	a haughty face/look/manner.	거만한 얼굴/표정/태도.
